final_score_threshold,embedding_score_threshold,total,correct,accuracy,uncertain_count,uncertain_rate
0.35,0.3,5,4,0.8,0,0.0
0.35,0.35,5,4,0.8,0,0.0
0.35,0.4,5,4,0.8,0,0.0
0.35,0.45,5,4,0.8,0,0.0
0.35,0.5,5,4,0.8,0,0.0
0.4,0.3,5,4,0.8,0,0.0
0.4,0.35,5,4,0.8,0,0.0
0.4,0.4,5,4,0.8,0,0.0
0.4,0.45,5,4,0.8,0,0.0
0.4,0.5,5,4,0.8,0,0.0
0.45,0.3,5,4,0.8,0,0.0
0.45,0.35,5,4,0.8,0,0.0
0.45,0.4,5,4,0.8,0,0.0
0.45,0.45,5,4,0.8,0,0.0
0.45,0.5,5,4,0.8,0,0.0
0.5,0.3,5,4,0.8,0,0.0
0.5,0.35,5,4,0.8,0,0.0
0.5,0.4,5,4,0.8,0,0.0
0.5,0.45,5,4,0.8,0,0.0
0.5,0.5,5,4,0.8,0,0.0
0.55,0.3,5,4,0.8,0,0.0
0.55,0.35,5,4,0.8,0,0.0
0.55,0.4,5,4,0.8,0,0.0
0.55,0.45,5,4,0.8,0,0.0
0.55,0.5,5,4,0.8,0,0.0
